,fold_train_history,fold_valid_history,fold_test_history,fold_train_loss,fold_valid_loss,fold_test_loss,split_train_history,split_valid_history,split_test_history,split_train_loss,split_valid_loss,split_test_loss
0,0.30753267256819183,0.29286592416753454,0.10158665886735482,1.1769398634672052,1.1889426563621326,1.3105981394193542,0.13400028617663895,0.18276576639509445,0.12401086362579061,1.325262946175485,1.225209043378111,1.3033030125930618
1,0.531295765159884,0.5075505868543176,0.48136091891121674,0.969129948348866,0.9918361873021156,0.996919596142997,0.25710761140736194,0.31384399879553115,0.27393439710419565,1.2274565721130524,1.1226602642468377,1.186544335431398
2,0.6540457306024131,0.6366348720148014,0.6140895493947294,0.8332287098749676,0.8536068732737396,0.8612814494745692,0.4199045230374586,0.45699079632147777,0.46606134191476756,1.084658242348479,0.9987125645836891,1.0175171123875628
3,0.7361603522016628,0.7007501161391412,0.659711410516305,0.726510124424143,0.7726449732420313,0.8086442847031705,0.5351685864580977,0.5119996896250285,0.5696695576375577,0.9709366981995469,0.9467754049790574,0.9134758579621308
4,0.8395521209162535,0.7986616569874058,0.6982416850425777,0.5655586277443286,0.6338147732845679,0.761523957778051,0.5780266308547323,0.5270227085138566,0.6094467144516087,0.9250936563547866,0.932088314524487,0.8702342798972225
5,0.9100170188328274,0.8720993875225869,0.6746495951791905,0.42220836174664367,0.505330869226129,0.7906290967525503,0.6425392239717624,0.5717467561431869,0.6338985449405606,0.8514465265221487,0.8869257195124901,0.8425521021406529
6,0.9500830679733984,0.9252062463814845,0.6448246040647796,0.31507465821046,0.3865591002556267,0.8259950831285028,0.6852457088980121,0.5717494039629863,0.6427506280507941,0.7989673111464409,0.8869229776498838,0.8323036054983337
7,0.9774963190725598,0.9603621071848402,0.665941276194521,0.20881848740901104,0.2801314372869578,0.8007976059045617,0.7492881369963165,0.5791405201885517,0.6808608004003149,0.7130674679587716,0.8792360274355574,0.7866582737316693
8,0.987381104721166,0.9766897346283365,0.6706724352924558,0.15759813319022986,0.21458209241382414,0.7956214869909347,0.7977670540153375,0.6087025893213525,0.6828845462891306,0.6404262658800868,0.847794130222986,0.7841601031830123
9,0.99171763128784,0.9876402023946518,0.6646327606763066,0.12828989175650035,0.15696607149372996,0.8028861195043506,0.8366427347987303,0.5981507693274895,0.6979975129371833,0.5755888975209809,0.8591490000145405,0.7652464062522023
10,0.9926411496974664,0.9881208658235625,0.6673514275516735,0.11884958524541453,0.1502079798860768,0.7996323651311518,0.8637252172884646,0.5963028414600359,0.669543220818768,0.5257156797777353,0.8611221583813439,0.8004853199499956
11,0.9960179277770698,0.9929890526913923,0.6685258851631071,0.087453739997992,0.11764495403847441,0.7981869233801667,0.8975392686258146,0.6011193573618445,0.6599871170029117,0.4558499452555888,0.8559697141173762,0.811976995703239
12,0.9961887224345414,0.9945500193160794,0.6765351745452441,0.08580472454082523,0.10413896966146456,0.7885315840348437,0.9379566695876721,0.597046414934012,0.6539864535747955,0.3547241300418924,0.8603287384869681,0.8191106825249613
13,0.9968901682901288,0.9951791794080916,0.6763365268258191,0.07517751524008989,0.09463719194232026,0.7887891918564124,0.9498041610759715,0.5778780598159186,0.6574173515829722,0.3190634373800716,0.8805537706724141,0.8150396189230452
14,0.9980989267958851,0.9965724640097608,0.6833373624395882,0.060612923885941625,0.08085855655384463,0.7802600460397431,0.9571121176722605,0.5809366130098841,0.6457634293303551,0.29492424921063176,0.8773578732463475,0.8287866300236653
15,0.9970788307205615,0.9962206114060986,0.6768561614422933,0.07343505844891814,0.08364473213037871,0.7881379062570123,0.9777413221291613,0.5743625336301348,0.6198121298367899,0.21246767395852145,0.8842128926123702,0.8586084678828712
16,0.9977549942165963,0.9970244919007201,0.6844480075941517,0.06441440694065632,0.07440456948385939,0.7788434736693493,0.9850529874416881,0.5610038494834748,0.629670748146631,0.17410866314349321,0.8979812618183003,0.8474030989724065
17,0.9977235549611692,0.9967496469376776,0.6918635179480581,0.062152842013439846,0.07509155931081098,0.769673553965582,0.9804639505545227,0.545150737718774,0.6274972662119018,0.1990497122447719,0.9140514999614662,0.8498861877256817
18,0.9978102212379296,0.9969421473062605,0.6977142262880738,0.05445392260182093,0.0662779627645811,0.7622984929274,0.9884724221786096,0.5557744952587067,0.6294344256752124,0.1529016642786493,0.9033138375288168,0.8476734374012596
19,0.9985424527481672,0.997929436314714,0.6947163394541704,0.0508098460541407,0.06166095299574924,0.766112216079601,0.9930336109428864,0.5570077371032242,0.6259834150288727,0.11886309756863497,0.9020590934287315,0.8516114054982351
20,0.9990938410372701,0.9986434975369092,0.7005233757380299,0.039514409093716604,0.0506784656487372,0.7587827036965684,0.9930963090664084,0.5847717518052489,0.6286876107456193,0.11832699936385013,0.8733339915027709,0.8485271817696638
21,0.9985317918996014,0.9979956950003448,0.699810356087054,0.051533417647019665,0.060184783291246526,0.7596826225910861,0.9958523956794049,0.5710251439683595,0.6278285914043815,0.09171531041568186,0.8876726455714357,0.8495081349997343
22,0.999236015052419,0.9989404862677513,0.7042323667979964,0.03334302541902817,0.043727804450117314,0.7540801010826244,0.9973671885262173,0.586398435419083,0.6307874541546112,0.07307234793367291,0.8716216414975468,0.8461244873278726
23,0.9992212797454035,0.9990961402143655,0.7014223090627212,0.03583880383503048,0.04099800324876523,0.7576547178000086,0.996267376722633,0.5825670853648565,0.640809345144741,0.08700621201823926,0.8756494182083383,0.8345618988157346
24,0.9992326829016325,0.9990255549224611,0.7037066889903165,0.03660234892680303,0.04231002389443574,0.7547411767023698,0.9925721770881425,0.5833217675105453,0.6242212250302303,0.12273656135872478,0.8748575113979593,0.8536152439167316
25,0.9995164688217631,0.999342957452231,0.7064219908739144,0.02956858417604808,0.035421123356243665,0.751287821368449,0.9939137878963198,0.5939047402516124,0.6265034444916879,0.11110068148416632,0.863676053460619,0.8510191629548823
26,0.9994720488464524,0.9993289337570147,0.704882231374597,0.028591111081524134,0.035441517275168824,0.7532484025818601,0.9989154166660987,0.5988423595251913,0.6335725271521839,0.04690019457735038,0.8584093757350968,0.8429271700942621
27,0.9994674920917177,0.9993311444931618,0.7081865250356951,0.032036425057489853,0.03648971002859889,0.749032212032926,0.9981773877069969,0.5936979002566101,0.6347080081717258,0.0607981449935908,0.8638959772404124,0.8416201304908338
28,0.9994290509951618,0.9991837350424746,0.7066432367039364,0.031599903371661006,0.038031497617247105,0.7510006775625259,0.9926179116637265,0.5874529569242397,0.6246973929527577,0.12235812127813668,0.8705097859631231,0.8530742433749268
29,0.9995289099552848,0.9993518327430021,0.709052303976774,0.028763340679027794,0.03474203432610198,0.7479052419332892,0.9977636614406196,0.5958533008970874,0.6421778233976656,0.06734602344761909,0.8616014801010511,0.8329705855790931
30,0.9995946423057713,0.9995701129059382,0.710719395041183,0.025925072795635457,0.028692495755481984,0.7457693231543694,0.9988403707767808,0.6002519841175644,0.6371878556042607,0.04849564688939628,0.8568998696221567,0.8387585241835007
31,0.999228140460322,0.9991406812607242,0.7113821998447596,0.037429047276624564,0.04095269645358296,0.7449039036360576,0.99580799889688,0.6121639893245201,0.6395603155303446,0.09220487328091236,0.8440360256147488,0.8360116691470123
32,0.9995193453427238,0.9994017885277191,0.7121458642621219,0.029991930635988356,0.03339299337121139,0.7439281513801344,0.9985028743173454,0.6077330372689287,0.6458127477195211,0.05510262792468725,0.8488438074927781,0.8287289343370561
33,0.9993598827536727,0.9992879552030504,0.7102830422902688,0.03276785734421091,0.035367313220162504,0.7463260509811389,0.9984851217102712,0.6035068997584805,0.6448637643609065,0.05542836293528557,0.8534041204377226,0.8298384094492618
34,0.9997047653220598,0.9996016310231589,0.7133423757991385,0.022285540319666335,0.026843581011723783,0.7423767358680706,0.9995463311908769,0.6094001707823286,0.6501837485500208,0.03033280980080163,0.847038094957297,0.8235994156936528
35,0.9996500019060441,0.9996066970821808,0.7149085343572664,0.025314883235038062,0.02705227691760243,0.740351899759564,0.9991889331638382,0.613846500424052,0.6542418395551319,0.040557530467133215,0.8422032361592625,0.8188083417629527
36,0.9997771406544554,0.9997009070043757,0.7153228413074291,0.0209886089032383,0.024439794612375266,0.7398151927061073,0.9973346983594207,0.6064569905059867,0.6453475176378264,0.07352183950528618,0.8502233334794456,0.8292730294508266
37,0.9996733947862871,0.9996225379930594,0.7138702244653958,0.0230730643191527,0.02645310208287214,0.7416957969405223,0.9970349934035456,0.6140913496314075,0.6520281688162446,0.07754539511002873,0.8419361849816205,0.8214253156136884
38,0.9995606310131311,0.9995899854746805,0.7153891191214532,0.028119606088363953,0.02796580008716919,0.7397252197041848,0.9987400706853382,0.6139970370205333,0.6505317531592041,0.050549431018182336,0.8420390595204945,0.8231896466933766
39,0.9995297974012237,0.9995232607292234,0.7173589099423255,0.028925956129839635,0.030214205674603967,0.7371641229491341,0.9987797356474117,0.6176214664150652,0.6495494973539621,0.04974737201968667,0.8380765134617971,0.8243457108560304
40,0.9997149911771123,0.9996892307715994,0.7186052829193775,0.02201091885514294,0.02442525910228964,0.7355361863909425,0.9993530184874877,0.6107883597561412,0.6555114643648958,0.03622339207629433,0.8455315715846758,0.8173036260470512
41,0.999549451127771,0.9995206815916708,0.7172967784467856,0.026607847105838116,0.02914372076026243,0.7372428191581171,0.9982830251551005,0.6181779790593458,0.6596527164151198,0.05900993651426351,0.837466424298029,0.8123761847782467
42,0.9998419914923854,0.9998025556157287,0.7176191107852793,0.016880766817809662,0.019673775308408054,0.7368256531963719,0.9999534199950572,0.6189148462148762,0.6579610681937687,0.009719478117516675,0.8366579330544134,0.8143925830132441
43,0.999751977234056,0.9997376633196351,0.7194332283942491,0.02155909842876525,0.022373879957775476,0.7344503337756256,0.9999069544260238,0.6203521032098518,0.6605387404970706,0.013736972879440824,0.8350787211729657,0.81131806861024
44,0.9997686566173855,0.999780831579111,0.7195402314173446,0.020524873756305358,0.02083513722703594,0.7343113841760734,0.9992413301196765,0.6212541919257522,0.6628641866678533,0.0392256006476619,0.8340860077644212,0.8085343654907962
45,0.9998491147101525,0.9998270135556364,0.7196378520211011,0.01600973574076559,0.01831609798948025,0.734187759518476,0.9968371295138719,0.625470457018021,0.6567746923248878,0.08009103122671347,0.8294304185671588,0.8158037372174485
46,0.9997054148334577,0.999670661236993,0.719886387612305,0.021187897554308267,0.02431486507386718,0.7338500801589243,0.998135746164816,0.6241075602761139,0.6608872121967195,0.06148875557741116,0.8309381787806719,0.8109015350999897
47,0.9997590991365726,0.9997729395428253,0.7193944189931198,0.021109006559794908,0.02057493278361628,0.7344993514998367,0.9998765213911004,0.6234016117797151,0.6659303246683099,0.015824829707928284,0.8317180885859804,0.8048492922655078
48,0.9998713385889417,0.9998437897181802,0.7210595033146092,0.015595262890398212,0.017305007700316566,0.7323233183725387,0.9999301294929547,0.6245127393343115,0.667154717491191,0.011903923538494033,0.8304902188198217,0.8033730189479479
49,0.999912910567657,0.9998894040193484,0.7212219728667618,0.013014702380977386,0.014812386278102987,0.7321106159834301,0.9997395624928058,0.6256376002499479,0.6686539136512473,0.02298237708485091,0.8292453208171146,0.8015617073619065
